smiley	,	meaning
:)	,	Standard smile
:-)	,	With nose
:-E	,	Buck-tooth or Vampire
>-)	,	Evil grin
:(	,	Sad or frown smile
:-(	,	Sad with nose
:-<	,	Super sad
:P	,	Sticking tongue out (raspberry)
:-O	,	Surprised
:-*	,	Kissing
:-@	,	Angry
:-$	,	Confused
:-\	,	Shifty
:-#	,	Don't tell/secret
(((H)))	,	Hugs
:-X	,	Kiss on the lips
`:-)	,	One eyebrow raised
:^)	,	A broken nose
:-&	,	tongue tied
E-:-)	,	a Ham radio operator
<:-)	,	Uni-brow
:->	,	Big grin happy
(-}{-)	,	Couple kissing
:-Q	,	Smoking
$_$	,	Greedy
@@	,	Rolling your eyes
:-!	,	Foot in mouth
:-D	,	Laughter
:*)	,	Drunk smile
:@	,	Exclamation What???
:-@	,	Scream
:-0	,	Yell
:-----)	,	Long nose (Liar!)
%-(	,	Confused
:-.)	,	Madonna
:-($)	,	Put your money where your mouth is
(:I	,	An egghead
|-O	,	Yawning
:@)	,	Pig smile
<(-_-)>	,	Robot
d[-_-]b	,	DJ with headphones
~:0	,	Baby
-@--@-	,	Eyeglasses
\VVV/	,	King
\%%%/	,	Queen
:-#	,	With braces
:'-)	,	Happy Crying
{:-)	,	Toupee smile
;)	,	Winking smile
;-)	,	Winking smile with nose
O:-)	,	I'm an angel (boy)
O*-)	,	I'm an angel (girl)
|-O	,	Yawn
(:-D	,	Gossip or blabbermouth
@>--;--	,	Rose
@-}---	,	Rose
Err:510	,	Cat
O.o	,	Confused
\_/) (o.o) (___)0	,	Bunny
~( 8^(I)	,	Homer Simpson
